C,allRecognitionAcc,alpha,epsilon,group,mix_w,nRealis,nWords,pers,phi_RL,phi_WM,r0,v17_total_events,v1NumEvent,v7NumEvent
2,0.736263736263736,0.0238317641756252,0.0948810260380543,online,0.999999554380267,17,159.5,0.915143375325866,0.0255236752149507,0.333595922397763,0.77686487177971,15,10,5
2,0.747252747252747,0.0105644526530734,0.0807594454101696,online,0.779072944276799,13,68,0.883307417568325,0.0196813780467154,0.256583891782481,0.999998596714075,29,14,15
2,0.703296703296703,0.0517557630087533,0.0585085400615045,online,0.500002039743453,17,133.5,0.295961684292469,0.0862534245160882,0.135451444204696,0.608375779082808,28,15,13
3,0.835164835164835,0.0545728273809304,0.107411748287791,online,0.876598098804051,17,163,0.832843948724344,0.147700595856563,0.147701176369329,0.792181156255108,28,14,14
4,0.648351648351648,0.00206123346025531,0.185818991177814,online,0.542426647917894,2,45.5,0.924056585542132,0.101088921793071,0.328885083870325,0.999966948191568,53,25,28
4,0.637362637362637,0.0722756231632654,0.0802075771068916,online,0.50000025037365,7,31,0.912411663021058,0.105840301191593,0.210062432519231,0.808485612638443,30,10,20
3,0.604395604395604,0.0231432256669978,0.151081121835857,online,0.500000351065406,16,65,0.946078541201675,0.022581466983208,0.307502414948633,0.551125622647285,73,32,41
2,0.637362637362637,0.0224717634091294,0.114436060948155,online,0.761313480511815,39,188,0.975190766863511,0.104842405715263,0.544102991759614,0.522278872146682,67,32,35
3,0.736263736263736,0.213047472850842,0.19214421014614,online,0.500004274351294,7,68.5,0.841670123543847,0.182977228146233,0.182977355797521,0.916519186099756,29,11,18
3,0.703296703296703,0.068835822378967,0.0566220578596749,online,0.500000227938212,12,49,0.717486944048202,0.206617960952818,0.206618043071063,0.988322878800377,23,11,12
2,0.736263736263736,0.0295408518782105,0.11019209498708,online,0.500054647149548,8,42,0.695914909846889,0.0923575775079242,0.217938779913813,0.848120298914849,21,12,9
3,0.802197802197802,0.0721649635692269,0.0331426644674908,online,0.999999773456555,34,154.5,0.521086697706313,0.140899693280046,0.172686201417709,0.740298820152375,23,12,11
3,0.703296703296703,6.7119151928519e-09,0.148846544247164,online,0.966183615718043,9,75,0.999999998678921,0.30432826268993,0.329978507554875,0.454801890192193,58,23,35
5,0.758241758241758,0.884340050117692,0.200015854255325,online,0.580379310006005,22,114,0.874417442745857,8.11089944964124e-07,0.340752381450534,0.355933846763252,66,25,41
3,0.67032967032967,0.0472265995673495,0.148593233287242,online,0.500001203212601,38,155.5,0.88593726257588,0.123813556321556,0.123813736813182,0.822639509039357,31,13,18
2,0.769230769230769,0.0389285492112674,0.0417409344901626,online,0.500000908878522,26,182.5,0.185549830044244,0.069566826946116,0.133087487555036,0.954185303055971,21,11,10
4,0.703296703296703,0.0260415718594592,0.0830232917214158,online,0.970263304883178,24,139,0.507823191632418,1.16179790674729e-07,0.246199459602983,0.999999298980283,26,15,11
2,0.725274725274725,0.0792345039210397,0.0608055071278268,online,0.662298136248838,12,105.5,0.364263530666892,0.150186451760754,0.150187231201707,0.999999345657702,24,12,12
2,0.648351648351648,0.0627568436871264,0.0588691558147907,online,0.708085066919484,14,68.5,0.675318396014827,0.115331577236921,0.115331786321688,0.999998830413755,22,10,12
2,0.769230769230769,0.0425310377042713,0.0442200672701365,online,0.999998690530228,16,105.5,0.535006359519904,0.0889810398344652,0.0889812122601754,0.999998740034998,66,30,36
